date,station,site,location,country,latitude,longitude,exposure,orientation,geology,reef_geomorphology,reeftype_old,reef_type
2014-04-04,pbbernardsh,pblagknolls,peros_banhos,chagos,-5.414833333,71.77365,2,s,atoll,atoll_lagoon,Lagoon knoll,lagoon_pinnacle
2014-04-04,pbcoinlag1,pbcoinlagoon,peros_banhos,chagos,-5.4533,71.7767,2,n,atoll,atoll_lagoon,Fringing Lagoon,inner_slope
2014-04-05,pbcoinlag2,pbcoinlagoon,peros_banhos,chagos,-5.449516667,71.7668,2,nne,atoll,atoll_lagoon,Fringing Lagoon,inner_slope
2014-04-01,pbispass-06,pbisdela_passe,peros_banhos,chagos,-5.237333333,71.81498333,4,n,atoll,atoll_rim,Terrace&Wall,forereef
2014-04-01,pblag1,pbdiamantlagoon,peros_banhos,chagos,-5.256,71.77146667,2,ese,atoll,atoll_lagoon,Fringing Lagoon,inner_slope
2014-04-02,pblag2,pbdiamantlagoon,peros_banhos,chagos,-5.2693,71.75493333,2,ese,atoll,atoll_lagoon,Fringing Lagoon,inner_slope
2014-04-06,pbpetitcoquill,pbpetite_coquillage,peros_banhos,chagos,-5.342933333,71.9796,5,ene,atoll,atoll_rim,Terrace&Wall,forereef
2014-04-05,pbronankn,pblagknolls,peros_banhos,chagos,-5.4148,71.80071667,2,s,atoll,atoll_lagoon,Lagoon knoll,lagoon_pinnacle
2011-10-04,pemba3,tunnel,pemba,mozambique,-12.96096667,40.55853333,2,east,continental_fringing_reef,ocean-exposed_fringing_reef,Fringing,diffuse_fringing_reef
2011-10-06,pemba6,pemban,pemba,mozambique,-12.91353333,40.51966667,2,south,continental_fringing_reef,inner-seas_exposed_fringing_reef,Fringing,forereef
2011-10-06,pemba7,pemban,pemba,mozambique,-12.92488333,40.50005,1,sw,continental_fringing_reef,inner-seas_exposed_fringing_reef,Fringing,diffuse_fringing_reef
2011-10-03,punto_maunhane,tunnel,pemba,mozambique,-12.95965,40.55975,2,east,continental_fringing_reef,ocean-exposed_fringing_reef,Plateau,pinnacle
2014-03-02,quifuki1,quifuki_s,quifuki,mozambique,-11.20548333,40.61575,5,s,continental_island,ocean-exposed_fringing_reef,Fringing,forereef
2015-03-14,quirind1,quirindi,palma,mozambique,-10.64928903,40.58802098,2,ne,continental_fringing_reef,ocean-exposed_fringing_reef,fringing,forereef
