date,station,site,country,latitude,longitude,closest_cell_lat,closest_cell_lon,cell_distance_km,sst_annual_mean
2021-03-31,mlcg_01,malindi_coral_garden,kenya,-3.25604,40.14085,-3.27083349227905,40.1458320617676,1.735455670401,27.9187493759673
2021-03-30,nor_01,north_reef,kenya,-3.24697,40.14929,-3.22916674613953,40.1458320617676,2.01651337811967,28.0720827058734
2021-03-30,nor_02,north_reef,kenya,-3.24513,40.14784,-3.22916674613953,40.1458320617676,1.78897828542543,28.0720827058734
2020-11-19,pap_01,papa_reef,kenya,-3.26395,40.14376,-3.27083349227905,40.1458320617676,0.799228731089091,28.2949993675575
2020-11-19,pap_02,papa_reef,kenya,-3.26084,40.14191,-3.27083349227905,40.1458320617676,1.19348418604529,28.2949993675575
2021-03-29,jac_02,jacaranda,kenya,-3.31462,40.124,-3.31250023841858,40.1041679382324,2.21412332494586,27.5758327169654
2021-03-29,jac_01,jacaranda,kenya,-3.31053,40.12719,-3.31250023841858,40.1458320617676,2.08100880238313,27.6216660492743
2020-11-17,mar_01,marereni_tengefu,kenya,-2.87981,40.20876,-2.89583349227905,40.2291679382324,2.8828906095465,28.6691660258609
2023-03-20,cho_01,chole,kenya,-1.889727,41.381708,-1.89583337306976,41.3958320617676,1.71023445949842,27.0708327282531
2023-03-22,ccc_01,chongo_cha_chano,kenya,-2.001709,41.329818,-2.02083349227905,41.3125,2.86807909193518,27.0708327282531
2023-03-21,ccs_01,chongo_cha_sharifu,kenya,-1.879967,41.438103,-1.89583337306976,41.4375,1.7655352439395,26.9074993985705
2023-03-20,mhd_01,muhindi,kenya,-1.905207,41.371677,-1.89583337306976,41.3541679382324,2.20742564994412,27.0991660609531
2022-10-19,mps_02,mapasi,kenya,-4.47471,39.50128,-4.47916698455811,39.5208320617676,2.22339761290474,27.3779160547225
2022-10-19,mps_01,mapasi,kenya,-4.47096,39.50707,-4.47916698455811,39.5208320617676,1.77771694564653,27.3779160547225
2022-10-18,mjk_02,mji_wa_kale,kenya,-4.65837,39.39407,-4.64583349227905,39.3958320617676,1.40761080341984,27.7062493807171
2022-10-18,mjk_01,mji_wa_kale,kenya,-4.65693,39.3994,-4.64583349227905,39.3958320617676,1.29569231069935,27.7062493807171
2018-10-13,djrn_01,djirani,comoros,-12.28323,43.6221,-12.2708339691162,43.6041679382324,2.38663407020857,28.3029160340472
2018-10-14,djrn_02,djirani,comoros,-12.27261,43.62108,-12.2708339691162,43.6041679382324,1.84815080291987,28.3029160340472
2018-10-09,frng_01,ferenga,comoros,-12.4108,43.70401,-12.3958339691162,43.6875,2.44625822693787,28.623332693552
2018-10-10,frng_02,ferenga,comoros,-12.41786,43.70248,-12.4375,43.6875,2.72311579444783,28.4008326985252
2022-02-04,kanz_01,kanzoni,comoros,-12.400322,43.673695,-12.3958339691162,43.6875,1.58012634261003,28.050416039691
2022-02-05,kanz_02,kanzoni,comoros,-12.407173,43.671539,-12.3958339691162,43.6875,2.14343471338088,28.050416039691
2018-10-11,mrrn_01,mirereni,comoros,-12.33908,43.65045,-12.3541669845581,43.6458320617676,1.750987227357,28.3199993669987
2018-10-12,mrrn_02,mirereni,comoros,-12.32809,43.64773,-12.3125,43.6458320617676,1.74574986007135,28.3708326991958
2018-10-13,mrgn_01,miringoni,comoros,-12.297,43.62397,-12.3125,43.6041679382324,2.7565686522405,28.2533327018221
2018-10-14,mrgn_02,miringoni,comoros,-12.30268,43.62671,-12.3125,43.6458320617676,2.3469053628567,28.3708326991958
2018-10-10,samb_01,sambia,comoros,-12.38775,43.78609,-12.3958339691162,43.7708320617676,1.8851892406036,28.3899993654341
2018-10-11,samb_02,sambia,comoros,-12.39301,43.79161,-12.3958339691162,43.7708320617676,2.2783001567616,28.3899993654341
2018-10-15,ptou_01,point_ouani,comoros,-12.24682,43.65845,-12.2291669845581,43.6458320617676,2.39440908790817,28.4499993640929
2018-10-16,ptou_02,point_ouani,comoros,-12.24845,43.65062,-12.2291669845581,43.6458320617676,2.20640013424088,28.4499993640929
2022-10-26,brc_02,brain_coral,kenya,-3.98243,39.76188,-3.97916674613953,39.7708320617676,1.05724269983072,27.1304160602546
2022-10-26,brc_01,brain_coral,kenya,-3.97886,39.76498,-3.97916674613953,39.7708320617676,0.650047535915483,27.1304160602546
2021-03-25,kas_02,kasa,kenya,-3.98323,39.76153,-3.97916674613953,39.7708320617676,1.12643043325698,27.7520827130259
2021-03-25,kas_01,kasa,kenya,-3.97755,39.76639,-3.97916674613953,39.7708320617676,0.524515678354359,27.7520827130259
2022-10-27,lbb_02,lobster_bank,kenya,-3.99619,39.7544,-3.97916674613953,39.7708320617676,2.62782520252265,27.1304160602546
2022-10-27,lbb_01,lobster_bank,kenya,-3.99338,39.75605,-3.97916674613953,39.7708320617676,2.2773830327948,27.1304160602546
