date,station,site,location,country,latitude,longitude,rugosity,viz,temp,max_depth_m,min_depth_m,div_maxd,habitat
2022-03-31,jkw_01,jamba_wa_kwale,msambweni,kenya,-4.516,39.50863,1.5,12,29,9.6,7.3,10.3,"Sand and corals from 7m to 10m, flat with rubble below 10m large dead acropora with smaller colinies growing on top. Dominant soft corals"
2022-03-31,jkw_02,jamba_wa_kwale,msambweni,kenya,-4.52081,39.50502,1.5,12,29,10.3,7.8,10.1,"Rich soft corals and hard corals from 4m to 10m, rubble and sand from 10m. A a gently slope of 5"
2023-02-11,jmi_01,jumba_idodi,pate,kenya,-2.16291,41.04219,1,7,28,3,2,NA,"Reef flat of rubble, seagrass and sand. Few live small coral recruits. Soft corals, sponges and hydroids."
2021-03-25,kas_01,kasa,mombasa_marine_national_park,kenya,-3.97755,39.76639,1.5,12,29,15,9.7,20.1,"Bare substrate, sand and rubble at 20m, many rays on the sandy patches at 20m. Medium relief from DC at 17m low relief at 10m. Slope of 30 to 20m then flat."
2021-03-25,kas_02,kasa,mombasa_marine_national_park,kenya,-3.98323,39.76153,1.5,14,29,14,10,22,HC and SC from 6m slope of 30 deom 8m Dc forming medium relief at about 12 to 18m dead acropora colonies at 10m 
2022-09-07,ivoi_01,ivoini,grand_comore,comoros,-11.39149,43.40332,1.5,20,26.3,18,10,18,spurs on sand. Scattered pocillopora and acropora. High sedimentation. Rubble and sand. Few fish
2022-09-07,ivoi_02,ivoini,grand_comore,comoros,-11.38894,43.40109,1.5,18,26.3,11.1,7,13,large spurs on sand. Very few scattered live hard coral. High sedimentation. Rubble and sand. Few fish
2023-02-18,kfc_01,kadhikia_fawachu,kizingitini,kenya,-2.15301,41.15146,2,7,28,2.5,1.1,NA,NA
2021-03-16,kiln_01,kilifi_north,kilifi,kenya,-3.63088,39.89233,2,14,28,16,9,20,"Halimeda dominated upto to 20m, low relief, low hard coral cover, some dead acropora, big soft coral patches at 10m. Echinothrix at around 10m"
2021-03-16,kiln_02,kilifi_north,kilifi,kenya,-3.62615,39.89341,2,15,28,16,10,21,"Halimeda common and a section with another MA to chec.,Sand and rubble at 20m, medium topography at 15m, mainly dead coral and some areas of high coral cover"
2021-11-21,kkd_01,kikadini,waa,kenya,-4.21028,39.61793,3,11,27,10.5,4.5,10.6,"Rubble and sand channel at 10 m, some patches of bare substrate with few isolated sponges.  Sand at 12 m, old bommies on bare sand. Well established reef at 7-9m dominated by soft corals"
2022-11-16,kif_02,kifinge,mafia,tanzania,-7.85414,39.86386,4,23,27,17.1,9.5,22.5,"Upper plateau at 6-8m, then a short wall to ~ 12 m, then slopes to 15m – 17m at sand. Reef slope dominated by soft corals, occasional Porites, Diploastrea, and encrusting Echinopora."
2022-11-16,kif_01,kifinge,mafia,tanzania,-7.84939,39.86331,4,22,27,18.2,10,18.5,Shallow lagoon plateau 1-3m depth to sand bottom with numerous small live coral heads and diverse taxa. Several Galaxea patches. 
2021-11-21,kkd_02,kikadini,waa,kenya,-4.21481,39.61696,4,9,27,13.9,10.5,18.8,"Relatively good hard corls cover, also soft corals available, ocaasionally halimeda patches"
2023-03-24,kkr_01,kadhikia_kuru,kiunga_marine_reserve,kenya,-1.723652,41.537266,3,10,29,2,2,NA,NA
2022-03-30,klg_01,kilingoni,munje,kenya,-4.54755,39.46273,2,7,26,8.2,3.5,10.3,Shallow narrow reef with seagrass and sand areas on the edge on the south facing side and shallow reef flat on the north facing side
