date,station,site,country,latitude,longitude,closest_cell,cell_distance_km,chla_annual_mean
2021-03-30,nor_02,north_reef,kenya,-3.24513,40.14784,10078807,31.8155113697754,0.0361495982796427
2020-11-19,pap_01,papa_reef,kenya,-3.26395,40.14376,10078807,29.7286299394543,0.038995345634058
2020-11-19,pap_02,papa_reef,kenya,-3.26084,40.14191,10078807,30.0792149204844,0.038995345634058
2021-03-29,jac_02,jacaranda,kenya,-3.31462,40.124,10078806,24.1446646410932,0.0362036423598017
2021-03-29,jac_01,jacaranda,kenya,-3.31053,40.12719,10078806,24.6246992687412,0.0362036423598017
2020-11-17,mar_01,marereni_tengefu,kenya,-2.87981,40.20876,9891122,24.8630984260135,0.0380239503348575
2023-03-20,cho_01,chole,kenya,-1.889727,41.381708,9670015,30.6505747289905,0.0405366041687097
2023-03-22,ccc_01,chongo_cha_chano,kenya,-2.001709,41.329818,9670013,43.0718891435701,0.0444003055516746
2023-03-21,ccs_01,chongo_cha_sharifu,kenya,-1.879967,41.438103,9670016,29.509658858248,0.0424405046025215
2023-03-20,mhd_01,muhindi,kenya,-1.905207,41.371677,9670014,32.3546701578381,0.0436492557643449
2022-10-19,mps_02,mapasi,kenya,-4.47471,39.50128,10318162,53.7044826387877,2.83056077786854
2022-10-19,mps_01,mapasi,kenya,-4.47096,39.50707,10318162,53.2415944002686,2.83056077786854
2022-10-18,mjk_02,mji_wa_kale,kenya,-4.65837,39.39407,10318162,62.5718685412414,2.83056077786854
2022-10-18,mjk_01,mji_wa_kale,kenya,-4.65693,39.3994,10318162,61.9753194215377,2.83056077786854
2018-10-13,djrn_01,djirani,comoros,-12.28323,43.6221,12033154,9.65059433040492,0.0940190695580982
2018-10-14,djrn_02,djirani,comoros,-12.27261,43.62108,12033154,8.47012754909324,0.0940190695580982
2018-10-09,frng_01,ferenga,comoros,-12.4108,43.70401,12033157,23.7065547698389,0.100741070779887
2018-10-10,frng_02,ferenga,comoros,-12.41786,43.70248,12033157,24.4997687281297,0.100741070779887
2022-02-04,kanz_01,kanzoni,comoros,-12.400322,43.673695,12033156,22.5143356624624,0.0911896425788685
2022-02-05,kanz_02,kanzoni,comoros,-12.407173,43.671539,12033156,23.283037474057,0.0911896425788685
2018-10-11,mrrn_01,mirereni,comoros,-12.33908,43.65045,12033155,15.720549596569,0.102723733323519
2018-10-12,mrrn_02,mirereni,comoros,-12.32809,43.64773,12033155,14.4858795800451,0.102723733323519
2018-10-13,mrgn_01,miringoni,comoros,-12.297,43.62397,12033154,11.1933136236225,0.0940190695580982
2018-10-14,mrgn_02,miringoni,comoros,-12.30268,43.62671,12033155,11.7745112009626,0.102723733323519
2018-10-10,samb_01,sambia,comoros,-12.38775,43.78609,12033159,21.1113067430525,0.113150581307367
2018-10-11,samb_02,sambia,comoros,-12.39301,43.79161,12033159,21.6949540016101,0.113150581307367
2018-10-15,ptou_01,point_ouani,comoros,-12.24682,43.65845,12033155,5.70809939276665,0.102723733323519
2018-10-16,ptou_02,point_ouani,comoros,-12.24845,43.65062,12033155,5.68828869275156,0.102723733323519
2022-10-26,brc_02,brain_coral,kenya,-3.98243,39.76188,10164283,6.48950470900788,0.0447690546423774
2022-10-26,brc_01,brain_coral,kenya,-3.97886,39.76498,10164283,6.00728577021579,0.0447690546423774
2021-03-25,kas_02,kasa,kenya,-3.98323,39.76153,10164283,6.58618817102827,0.0452497776473382
2021-03-25,kas_01,kasa,kenya,-3.97755,39.76639,10164283,5.8240386579783,0.0452497776473382
2022-10-27,lbb_02,lobster_bank,kenya,-3.99619,39.7544,10164282,7.83708157001049,0.0433583565000305
2022-10-27,lbb_01,lobster_bank,kenya,-3.99338,39.75605,10164282,7.57050888190408,0.0433583565000305
