"date","station","site","location","country","latitude","longitude","grav_tot","distance_to_grid_km"
"2021-11-17","cha_02","chale","msambweni","kenya",-4.45619,39.53984,2832,0
"2021-11-20","kmo_01","kinondo_makonde","diani","kenya",-4.40924,39.56028,503,0
"2021-11-20","kmo_02","kinondo_makonde","diani","kenya",-4.40924,39.56028,503,0
"2021-11-16","mvu_01","mvureni","diani","kenya",-4.35188,39.57766,975,0
"2021-11-22","dnr_02","diani_reef","diani","kenya",-4.28317,39.60162,5016,0
"2021-11-22","dnr_01","diani_reef","diani","kenya",-4.27953,39.60407,5016,0
"2021-11-21","kkd_02","kikadini","waa","kenya",-4.21481,39.61696,5016,0
"2021-11-21","kkd_01","kikadini","waa","kenya",-4.21028,39.61793,5016,0
"2021-11-19","mgd_01","magandia","waa","kenya",-4.18336,39.63314,7608,0
"2021-11-19","mgd_02","magandia","waa","kenya",-4.18005,39.63612,7608,0
"2021-11-18","ksm_02","kaya_similani","waa","kenya",-4.15567,39.65119,919,0
"2021-11-18","ksm_01","kaya_similani","waa","kenya",-4.1511,39.65393,919,0
"2021-11-23","and_02","andromache","likoni","kenya",-4.10642,39.68922,41790,0
"2021-11-23","and_01","andromache","likoni","kenya",-4.10165,39.68993,41790,0
"2021-03-24","lev_01","leven","mombasa_marine_national_reserve","kenya",-4.06152,39.72062,41790,0
"2023-03-23","nycg_01","nyali_coral_garden","mombasa_marine_national_reserve","kenya",-4.06005,39.71089,41790,0
"2021-03-24","lev_02","leven","mombasa_marine_national_reserve","kenya",-4.05775,39.72238,41790,0
"2023-02-23","riw_01","ras_iwatine","mombasa_marine_national_reserve","kenya",-4.02071,39.73404,1335,0
"2022-10-27","lbb_02","lobster_bank","mombasa_marine_national_park","kenya",-3.99619,39.7544,1869,0
"2023-03-24","str_01","starfish","mombasa_marine_national_park","kenya",-3.99418,39.74729,1869,0
"2022-10-27","lbb_01","lobster_bank","mombasa_marine_national_park","kenya",-3.99338,39.75605,1869,0
"2022-10-28","mbcg_01","mombasa_coral_garden","mombasa_marine_national_park","kenya",-3.99084,39.75045,1869,0
"2021-03-25","kas_02","kasa","mombasa_marine_national_park","kenya",-3.98323,39.76153,1869,0
"2022-10-26","brc_02","brain_coral","mombasa_marine_national_park","kenya",-3.98243,39.76188,1869,0
